date,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 5-24,ILITOTAL,NUM. OF PROVIDERS,OT
2002-01-01 00:00:00,1.22262,1.16668,582,805,2060,754,176569
2002-01-08 00:00:00,1.33344,1.2165,683,872,2267,785,186355
2002-01-15 00:00:00,1.31929,1.13057,642,878,2176,831,192469
2002-01-22 00:00:00,1.49484,1.25246,728,1045,2599,863,207512
2002-01-29 00:00:00,1.47195,1.30237,823,1189,2907,909,223208
2002-02-05 00:00:00,1.58094,1.40551,887,1272,3225,930,229454
2002-02-12 00:00:00,1.49426,1.38437,851,1173,3097,923,223712
2002-02-19 00:00:00,1.40569,1.32563,802,1166,2967,922,223818
2002-02-26 00:00:00,1.6141,1.43475,834,978,2709,918,188814
2002-03-05 00:00:00,1.45967,1.25433,857,1117,3049,937,243078
2002-03-12 00:00:00,1.59896,1.25757,804,1179,2957,928,235136
2002-03-19 00:00:00,2.16697,1.58017,951,1404,3416,908,216179
2002-03-26 00:00:00,2.57842,1.98008,915,937,2857,865,144287
2002-04-02 00:00:00,2.38636,1.90428,1028,1019,3260,879,171193
2002-04-09 00:00:00,1.7362099999999998,1.5901,1068,1296,3729,926,234513
2002-04-16 00:00:00,2.06296,1.81559,1154,1798,4204,902,231550
2002-04-23 00:00:00,2.58113,2.41801,1373,2998,5696,927,235566
2002-04-30 00:00:00,2.93909,2.86635,1411,4064,7079,884,246969
2002-05-07 00:00:00,3.22539,3.16662,1606,4447,7782,889,245751
2002-05-14 00:00:00,3.06982,3.0155,1568,4224,7649,903,253656
2002-05-21 00:00:00,3.20044,2.9978,1694,3689,7228,871,241110
2002-05-28 00:00:00,2.44888,2.31957,1336,2583,5606,857,241683
2002-06-04 00:00:00,2.1344,1.94707,1015,2103,4450,839,228549
2002-06-11 00:00:00,1.99866,1.72985,880,1669,3810,835,220250
2002-06-18 00:00:00,1.93849,1.51837,737,1321,2987,795,196724
2002-06-25 00:00:00,1.41293,1.22616,624,1016,2439,775,198913
2002-07-02 00:00:00,1.23472,1.05433,506,846,2028,741,192349
2002-07-09 00:00:00,1.20005,1.07108,569,799,2082,735,194383
2002-07-16 00:00:00,0.910135,0.8261200000000001,440,539,1467,669,177577
2002-07-23 00:00:00,0.932265,0.8205049999999999,429,508,1445,682,176111
2002-07-30 00:00:00,0.692175,0.630846,275,444,1075,655,170406
2002-08-06 00:00:00,0.6694060000000001,0.63935,215,471,1005,613,157191
2002-08-13 00:00:00,0.727705,0.586609,248,283,836,547,142514
2002-08-20 00:00:00,0.717701,0.7730239999999999,264,262,740,406,95728
2002-08-27 00:00:00,0.7893939999999999,0.790743,213,205,641,393,81063
2002-09-03 00:00:00,0.722129,0.711847,201,195,563,344,79090
2002-09-10 00:00:00,0.591326,0.794637,198,187,620,341,78023
2002-09-17 00:00:00,0.52307,0.586604,139,123,423,322,72110
2002-09-24 00:00:00,0.4502359999999999,0.6159819999999999,122,124,441,322,71593
2002-10-01 00:00:00,0.397421,0.4915069999999999,109,91,318,310,64699
2002-10-08 00:00:00,0.448002,0.604341,137,141,441,308,72972
2002-10-15 00:00:00,0.474767,0.524478,98,98,365,301,69593
2002-10-22 00:00:00,0.453251,0.590692,112,139,420,302,71103
2002-10-29 00:00:00,0.3521579999999999,0.505135,100,120,361,290,71466
2002-11-05 00:00:00,0.5253220000000001,0.634271,136,125,443,295,69844
2002-11-12 00:00:00,0.492991,0.610118,120,131,421,283,69003
2002-11-19 00:00:00,0.542728,0.641227,159,144,450,277,70178
2002-11-26 00:00:00,0.490347,0.661429,166,155,463,276,70000
2002-12-03 00:00:00,0.7359140000000001,0.7926810000000001,177,182,519,271,65474
2002-12-10 00:00:00,0.581771,0.639059,145,184,475,267,74328
2002-12-17 00:00:00,0.654162,0.636732,136,183,461,264,72401
2002-12-24 00:00:00,0.749504,0.747829,135,221,533,268,71273
2002-12-31 00:00:00,0.884021,0.960873,808,881,2442,830,254144
2003-01-07 00:00:00,1.02773,1.04325,913,1132,2932,931,281045
2003-01-14 00:00:00,1.28296,1.0545,878,1147,3031,974,287436
2003-01-21 00:00:00,1.32661,1.11231,1006,1369,3475,1007,312412
2003-01-28 00:00:00,1.7730400000000002,1.41274,1207,2080,4690,1074,331980
2003-02-04 00:00:00,2.43814,1.7270299999999998,1542,2735,5790,1111,335258
2003-02-11 00:00:00,2.72605,2.407,2185,4133,8385,1141,348359
2003-02-18 00:00:00,3.73192,3.10962,2561,5684,11141,1129,358275
2003-02-25 00:00:00,4.54894,4.30779,3247,4933,11742,1118,272576
2003-03-04 00:00:00,5.39906,4.8303,4734,7817,18948,1189,392274
2003-03-11 00:00:00,7.38735,6.42905,6620,11550,24962,1173,388269
2003-03-18 00:00:00,7.48097,6.86734,6434,9851,23699,1148,345097
2003-03-25 00:00:00,7.627969999999999,7.064960000000001,5336,5231,16415,1122,232344
2003-04-01 00:00:00,5.14051,4.55115,3391,2894,11332,1139,248992
2003-04-08 00:00:00,2.89129,2.41833,1930,2299,7602,1160,314349
2003-04-15 00:00:00,2.10429,1.80906,1679,1857,5583,1141,308614
2003-04-22 00:00:00,1.88696,1.71202,1721,1604,4961,1084,289774
2003-04-29 00:00:00,1.7766,1.5425,1487,1543,4436,1071,287586
2003-05-06 00:00:00,1.46001,1.43787,1454,1448,4251,1054,295646
2003-05-13 00:00:00,1.3778700000000002,1.32427,1420,1297,3824,986,288762
2003-05-20 00:00:00,1.30532,1.30726,1301,1255,3691,1004,282347
2003-05-27 00:00:00,1.08691,1.03698,956,1038,2916,948,281202
2003-06-03 00:00:00,0.991888,1.01032,925,910,2744,894,271597
2003-06-10 00:00:00,1.02765,1.05249,878,888,2708,897,257294
2003-06-17 00:00:00,1.0579,1.02009,730,826,2487,849,243802
2003-06-24 00:00:00,0.849361,0.924419,760,733,2300,859,248805
2003-07-01 00:00:00,0.7471270000000001,0.7906449999999999,610,611,1858,828,234998
2003-07-08 00:00:00,0.661708,0.80261,583,566,1705,774,212432
2003-07-15 00:00:00,0.6795140000000001,0.8361299999999999,545,573,1749,755,209178
2003-07-22 00:00:00,0.633071,0.7924359999999999,501,511,1615,679,203802
2003-07-29 00:00:00,0.569894,0.683588,470,404,1331,658,194708
2003-08-05 00:00:00,0.591357,0.757452,435,491,1394,629,184038
2003-08-12 00:00:00,0.589044,0.7885850000000001,449,443,1327,599,168276
2003-08-19 00:00:00,0.6786399999999999,0.812171,451,380,1262,553,155386
2003-08-26 00:00:00,0.637558,0.804463,375,349,1070,463,133008
2003-09-02 00:00:00,0.8133090000000001,0.8777010000000001,391,308,1061,452,120884
2003-09-09 00:00:00,0.834551,0.741453,355,309,987,443,133117
2003-09-16 00:00:00,0.616174,0.661022,307,240,851,426,128740
2003-09-23 00:00:00,0.513286,0.715109,277,284,887,423,124037
2003-09-30 00:00:00,0.351881,0.562241,238,183,698,408,124146
2003-10-07 00:00:00,0.542621,0.786808,233,205,710,381,90238
2003-10-14 00:00:00,0.581036,0.860658,249,280,836,378,97135
2003-10-21 00:00:00,0.495486,0.689944,259,200,659,370,95515
2003-10-28 00:00:00,0.6120899999999999,0.779691,260,230,719,363,92216
2003-11-04 00:00:00,0.5314909999999999,0.6281439999999999,213,235,733,345,116693
2003-11-11 00:00:00,0.519987,0.902459,243,256,809,334,89644
2003-11-18 00:00:00,0.574476,0.806443,256,256,770,335,95481
2003-11-25 00:00:00,0.663175,0.8748879999999999,259,265,799,333,91326
2003-12-02 00:00:00,0.614691,0.993213,279,358,960,326,96656
2003-12-09 00:00:00,0.6568229999999999,0.876141,281,309,913,337,104207
2003-12-16 00:00:00,0.723016,0.948092,342,413,1122,341,118343
2003-12-23 00:00:00,0.6918569999999999,0.926943,322,416,1089,336,117483
2003-12-30 00:00:00,0.782758,0.971643,333,382,1116,364,114857
2004-01-06 00:00:00,0.982275,0.897159,877,1256,3171,1176,353449
2004-01-13 00:00:00,1.01821,1.0224799999999998,1071,1373,3631,1187,355116
2004-01-20 00:00:00,1.1768,1.06296,1240,1534,4019,1267,378094
2004-01-27 00:00:00,1.30121,1.14696,1190,1671,4369,1293,380921
2004-02-03 00:00:00,1.27746,1.20495,1327,1718,4551,1302,377692
2004-02-10 00:00:00,1.4038700000000002,1.3051700000000002,1497,1874,4969,1344,380718
2004-02-17 00:00:00,1.40301,1.28699,1531,1874,4983,1336,387182
2004-02-24 00:00:00,1.73975,1.59468,1490,1678,4713,1341,295546
2004-03-02 00:00:00,1.56894,1.39714,1538,2059,5407,1369,387004
2004-03-09 00:00:00,1.65927,1.44996,1551,2052,5428,1346,374356
2004-03-16 00:00:00,1.81341,1.61745,1670,2071,5755,1379,355806
2004-03-23 00:00:00,2.37626,2.19112,1856,1807,5689,1288,259639
2004-03-30 00:00:00,2.77052,2.56649,2252,1993,7279,1332,283617
2004-04-06 00:00:00,2.40064,2.17645,2010,2450,8041,1383,369455
2004-04-13 00:00:00,2.54155,2.20171,2188,2982,8323,1342,378024
2004-04-20 00:00:00,2.85871,2.53012,2199,3682,9328,1348,368678
2004-04-27 00:00:00,3.55011,3.06524,2747,5364,12422,1334,405254
2004-05-04 00:00:00,4.58591,3.98061,3086,7650,16192,1303,406772
2004-05-11 00:00:00,5.05809,4.595680000000001,3626,8854,19369,1324,421461
2004-05-18 00:00:00,5.44151,4.75197,3834,8400,19931,1330,419426
2004-05-25 00:00:00,4.4729,4.17962,3720,6759,16630,1280,397883
2004-06-01 00:00:00,3.6752,3.45359,2997,5343,13234,1268,383196
2004-06-08 00:00:00,3.3353,3.15852,2728,4494,11601,1227,367292
2004-06-15 00:00:00,2.7622400000000003,2.6732,2416,3513,9502,1185,355454
2004-06-22 00:00:00,2.46844,2.35161,2145,2771,7900,1148,335940
2004-06-29 00:00:00,2.00081,1.89243,1827,2133,6329,1103,334438
2004-07-06 00:00:00,1.54319,1.5249,1422,1737,4816,1048,315823
2004-07-13 00:00:00,1.50195,1.41134,1356,1603,4445,1000,314948
2004-07-20 00:00:00,1.22918,1.25068,1096,1469,3825,978,305833
2004-07-27 00:00:00,1.21854,1.20702,1117,1411,3646,971,302065
2004-08-03 00:00:00,1.15832,1.07895,903,1136,2990,923,277120
2004-08-10 00:00:00,1.249,1.14521,979,1115,3012,878,263009
2004-08-17 00:00:00,1.16888,1.06124,805,926,2531,825,238494
2004-08-24 00:00:00,1.0788799999999998,1.0568,687,695,2056,687,194550
2004-08-31 00:00:00,1.23059,1.25193,693,678,2099,637,167661
2004-09-07 00:00:00,1.14747,1.01419,548,594,1744,603,171960
2004-09-14 00:00:00,1.00254,1.04197,573,507,1614,582,154899
2004-09-21 00:00:00,0.957569,0.954027,580,507,1628,587,170645
2004-09-28 00:00:00,0.8948370000000001,0.8482299999999999,497,452,1359,550,160216
2004-10-05 00:00:00,0.798205,0.841872,426,390,1198,533,142302
2004-10-12 00:00:00,0.757812,0.7308939999999999,389,361,1148,524,157068
2004-10-19 00:00:00,0.8259629999999999,0.713432,333,364,1068,507,149699
2004-10-26 00:00:00,0.744927,0.6706770000000001,328,327,990,492,147612
2004-11-02 00:00:00,0.787049,0.689278,331,326,982,488,142468
2004-11-09 00:00:00,0.684724,0.704929,319,350,1023,479,145121
2004-11-16 00:00:00,0.7473609999999999,0.615903,330,326,928,480,150673
2004-11-23 00:00:00,0.673974,0.609426,292,311,922,428,151290
2004-11-30 00:00:00,0.869662,0.6802590000000001,342,367,1033,420,151854
2004-12-07 00:00:00,0.8995290000000001,0.7754880000000001,338,396,1061,416,136817
2004-12-14 00:00:00,0.854635,0.6834210000000001,302,383,1026,408,150127
2004-12-21 00:00:00,1.01123,0.781075,368,516,1219,419,156067
2004-12-28 00:00:00,0.977808,0.8069430000000001,381,484,1204,447,149205
2005-01-04 00:00:00,1.1777799999999998,1.07635,1172,1256,3586,1113,333164
2005-01-11 00:00:00,1.21947,1.05869,1285,1247,3582,1160,338343
2005-01-18 00:00:00,1.3069,1.11523,1393,1525,4122,1216,369609
2005-01-25 00:00:00,1.33931,1.12381,1439,1599,4248,1237,377999
2005-02-01 00:00:00,1.58374,1.25489,1639,1894,5005,1280,398840
2005-02-08 00:00:00,1.47072,1.33661,1563,1929,5038,1272,376924
2005-02-15 00:00:00,1.6112,1.37864,1679,1951,5276,1277,382697
2005-02-22 00:00:00,1.82699,1.60829,1666,1593,4802,1301,298578
2005-03-01 00:00:00,1.77482,1.48311,1858,2176,5966,1325,402264
2005-03-08 00:00:00,1.94451,1.6537400000000002,1987,2463,6371,1328,385248
2005-03-15 00:00:00,2.35512,2.00679,2241,3063,7697,1318,383548
2005-03-22 00:00:00,3.10878,2.56857,2696,3058,8577,1287,333921
2005-03-29 00:00:00,3.2823800000000003,3.05278,2678,2561,8842,1273,289638
2005-04-05 00:00:00,2.62914,2.42504,2422,2366,8339,1319,343871
2005-04-12 00:00:00,2.2515,2.00195,2272,2921,7882,1339,393716
2005-04-19 00:00:00,2.35858,2.0586900000000004,2249,3150,7858,1297,381699
2005-04-26 00:00:00,2.41881,2.21277,2643,3646,9114,1331,411882
2005-05-03 00:00:00,2.52752,2.3222,2612,4153,9551,1320,411291
2005-05-10 00:00:00,2.64954,2.4927900000000003,2754,4593,10427,1311,418286
2005-05-17 00:00:00,3.12935,2.79489,2624,4979,11226,1288,401661
2005-05-24 00:00:00,3.12442,2.96911,2753,5284,11901,1288,400827
2005-05-31 00:00:00,3.13099,2.8395900000000003,2579,5008,11343,1275,399459
2005-06-07 00:00:00,3.08261,2.77799,2564,5106,11261,1257,405365
2005-06-14 00:00:00,2.64431,2.47287,2330,4154,9322,1241,376971
2005-06-21 00:00:00,2.42295,2.18061,1895,3709,8064,1217,369804
2005-06-28 00:00:00,2.31141,2.0168,1697,3393,7313,1165,362605
2005-07-05 00:00:00,1.86383,1.64101,1437,2660,5738,1133,349662
2005-07-12 00:00:00,1.44943,1.35829,1181,2014,4547,1087,334760
2005-07-19 00:00:00,1.30227,1.1428,959,1479,3550,1045,310641
2005-07-26 00:00:00,1.13459,1.04031,836,1382,3177,1017,305389
2005-08-02 00:00:00,1.06255,0.964347,745,1208,2780,958,288278
2005-08-09 00:00:00,1.03428,0.937982,745,1039,2592,919,276338
2005-08-16 00:00:00,1.01791,0.947449,715,969,2428,877,256267
2005-08-23 00:00:00,0.918151,0.891918,699,764,2061,783,231075
2005-08-30 00:00:00,0.93099,0.864643,572,561,1645,649,190252
2005-09-06 00:00:00,0.857294,0.97032,754,626,2075,635,213847
2005-09-13 00:00:00,0.7862939999999999,0.84439,514,447,1430,615,169353
2005-09-20 00:00:00,0.719426,0.77487,463,409,1300,610,167770
2005-09-27 00:00:00,0.7188680000000001,0.8213719999999999,466,390,1271,572,154741
2005-10-04 00:00:00,0.774807,0.8727450000000001,437,402,1215,565,139216
2005-10-11 00:00:00,0.76598,0.922635,549,511,1617,577,175259
2005-10-18 00:00:00,0.642809,0.899487,541,440,1553,564,172654
2005-10-25 00:00:00,0.622033,0.843082,502,403,1455,564,172581
2005-11-01 00:00:00,0.616326,0.8818239999999999,508,430,1428,551,161937
2005-11-08 00:00:00,0.6856939999999999,0.817145,473,435,1373,547,168024
2005-11-15 00:00:00,0.6226970000000001,0.8715,510,466,1457,536,167183
2005-11-22 00:00:00,0.611817,0.738621,404,379,1138,503,154071
2005-11-29 00:00:00,0.638831,0.797966,398,457,1224,488,153390
2005-12-06 00:00:00,0.8066270000000001,1.01394,492,506,1463,491,144289
2005-12-13 00:00:00,0.7624479999999999,0.880936,446,521,1406,487,159603
2005-12-20 00:00:00,0.8134060000000001,0.943366,511,534,1487,455,157627
2005-12-27 00:00:00,0.807934,0.891546,476,512,1433,469,160732
2006-01-03 00:00:00,1.15384,1.2032200000000002,1434,1699,4513,1323,375076
2006-01-10 00:00:00,1.14819,1.05788,1278,1602,4072,1361,384920
2006-01-17 00:00:00,1.22736,1.13054,1543,1830,4737,1425,419005
2006-01-24 00:00:00,1.21744,1.12552,1582,1996,4888,1445,434287
2006-01-31 00:00:00,1.32813,1.2080799999999998,1672,2270,5380,1473,445334
2006-02-07 00:00:00,1.47754,1.34952,2112,2393,6139,1497,454901
2006-02-14 00:00:00,1.5339,1.4689,2355,2681,6668,1474,453945
2006-02-21 00:00:00,1.91269,1.82767,2188,2202,6156,1488,336822
2006-02-28 00:00:00,1.838,1.6656,2573,2792,7530,1486,452089
2006-03-07 00:00:00,1.95376,1.85968,2643,3244,8122,1493,436741
2006-03-14 00:00:00,2.40407,2.38891,3270,4470,10396,1492,435177
2006-03-21 00:00:00,2.87453,2.78978,3387,4065,10192,1435,365334
2006-03-28 00:00:00,3.02597,3.1154900000000003,3243,2868,8913,1359,286087
2006-04-04 00:00:00,2.37817,2.26942,2927,2481,8386,1490,369521
2006-04-11 00:00:00,2.09232,1.86355,2507,2756,7761,1467,416464
2006-04-18 00:00:00,2.29396,1.99986,2548,3248,7909,1470,395477
2006-04-25 00:00:00,2.74501,2.4406,3410,4684,10888,1495,446119
2006-05-02 00:00:00,3.04434,2.83018,3456,5648,12120,1472,428241
2006-05-09 00:00:00,3.49999,3.12343,3840,6995,14197,1484,454533
2006-05-16 00:00:00,3.57851,3.27019,3879,6668,14031,1461,429057
2006-05-23 00:00:00,3.28979,3.17757,3728,6537,14048,1460,442099
2006-05-30 00:00:00,2.89149,2.72364,3016,5429,11801,1428,433281
2006-06-06 00:00:00,2.62075,2.50201,2798,4937,10715,1408,428255
2006-06-13 00:00:00,2.5338700000000003,2.4272,2668,4031,9597,1361,395394
2006-06-20 00:00:00,2.07251,1.96041,2049,3307,7562,1333,385735
2006-06-27 00:00:00,1.87084,1.5914,1664,2508,6148,1303,386327
2006-07-04 00:00:00,1.40042,1.36978,1445,1803,4958,1284,361955
2006-07-11 00:00:00,1.46887,1.36317,1429,1821,4869,1240,357183
2006-07-18 00:00:00,1.15514,1.1737,1257,1523,4179,1206,356055
2006-07-25 00:00:00,1.07901,1.06358,1152,1386,3695,1152,347413
2006-08-01 00:00:00,0.98492,0.969711,969,1143,3077,1119,317311
2006-08-08 00:00:00,1.03325,0.965362,917,1055,2860,1057,296262
