file,column,ADF Statistic,ADF p-value,Stationary (ADF),Ljung-Box p-value,White Noise (Ljung-Box),ADF Error
standardized_data_new.xlsx,Time,-6.464350914716739,1.4174083778872247e-08,True,2.575123233603562e-207,False,
standardized_data_new.xlsx,Var1,-5.637474276564866,1.0549818936936723e-06,True,1.7228523330189433e-12,False,
standardized_data_new.xlsx,Var2,-10.950372354701939,8.828909970108502e-20,True,0.9999998274632175,True,
standardized_data_new.xlsx,Var3,-1.3753688167419003,0.5940260087611273,False,6.752164274958911e-140,False,
standardized_data_new.xlsx,Var4,-4.316575834124167,0.000415751317759032,True,6.066422939996883e-13,False,
standardized_data_new.xlsx,Var5,-3.5880895953750382,0.00599285435778855,True,8.826041362827709e-22,False,
standardized_data_new.xlsx,Var6,-3.9865108285522535,0.001482815112969709,True,8.50480030664476e-28,False,
standardized_data_new.xlsx,Var7,-2.182585074137731,0.2126266726904173,False,1.164045505763693e-92,False,
standardized_data_new.xlsx,Var8,-2.8879556578004317,0.046766624532353675,True,3.066626838011364e-82,False,
standardized_data_new.xlsx,Var9,-8.45159156581675,1.6567481607889647e-13,True,0.16017581849174237,True,
standardized_data_new.xlsx,Var10,-2.4204719210450256,0.1360415266612779,False,0.0019832313754182228,False,
standardized_data_new.xlsx,Var11,-3.8350284850181513,0.00256858766667406,True,1.6843190312635734e-10,False,
standardized_data_new.xlsx,Var12,-1.982459459795584,0.2943165742974528,False,1.1308917584007968e-137,False,
standardized_data_new.xlsx,Var13,-3.8141610896997995,0.0027657066085202265,True,6.298827176559744e-32,False,
standardized_data_new.xlsx,Var14,-4.08507040635257,0.0010250457644560339,True,3.605776883747166e-34,False,
standardized_data_new.xlsx,Var15,-3.754651994015037,0.00340689467301038,True,2.1518461517570536e-41,False,
standardized_data_new.xlsx,Var16,-2.136360445878212,0.2301473766667113,False,1.6583102471004132e-118,False,
standardized_data_new.xlsx,Var17,-2.6109169775283902,0.09076187663465524,False,2.7251235838999914e-88,False,
standardized_data_new.xlsx,Var18,-4.046484215956085,0.0011857408659640073,True,0.00011313541576911284,False,
standardized_data_new.xlsx,Var19,-6.308393077158005,3.2802517135207344e-08,True,1.094349050557706e-07,False,
standardized_data_new.xlsx,Var20,-3.7400663050832605,0.003583609572736789,True,2.7626348617716888e-28,False,
standardized_data_new.xlsx,Var21,-3.1371560747482894,0.023922898513761996,True,6.60784986462887e-35,False,
standardized_data_new.xlsx,Var22,-10.085362556096124,1.1592439964218569e-17,True,0.9858851012332648,True,
standardized_data_new.xlsx,Var23,-6.672939935145725,4.539509682911262e-09,True,7.610896460955957e-05,False,
standardized_data_new.xlsx,Var24,-3.76013743775943,0.003342530621320535,True,4.3628472885732454e-29,False,
standardized_data_new.xlsx,Var25,-1.2314649937588522,0.6599159646557167,False,6.003905558496669e-122,False,
standardized_data_new.xlsx,Var26,-7.2526643085800355,1.7634405019346318e-10,True,0.007875431276322039,False,
standardized_data_new.xlsx,Var27,-5.822895978411667,4.1430719484210025e-07,True,2.1098232793125102e-07,False,
standardized_data_new.xlsx,Var28,-2.633359292212202,0.08629669922927347,False,3.941434994556882e-95,False,
standardized_data_new.xlsx,Var29,-3.7055986811075576,0.004035089329581148,True,1.6936681494939298e-29,False,
standardized_data_new.xlsx,Var30,-10.389555002757449,2.0377770282211177e-18,True,0.7004367098596413,True,
standardized_data_new.xlsx,Var31,-9.069665840623237,4.336496428271757e-15,True,0.41462614808329723,True,
standardized_data_new.xlsx,Sample,,,,,False,"Invalid input, x is constant"
standardized_data.xlsx,absv_850_绝对涡度,-5.635067399732565,1.0677164975644121e-06,True,1.680898500034661e-12,False,
standardized_data.xlsx,clwmr_850_云水混合比,-10.948349807351127,8.927843792152684e-20,True,0.9999998621909251,True,
standardized_data.xlsx,gh_850_位势高度,-1.3727980857605682,0.595245370878115,False,4.107875518228105e-140,False,
standardized_data.xlsx,r_850_相对湿度,-4.317510502640558,0.0004141989174385276,True,6.019286800433924e-13,False,
standardized_data.xlsx,q_850_比湿,-3.5920920921412893,0.005914022137850664,True,8.716618672304203e-22,False,
standardized_data.xlsx,t_850_温度,-3.9904275235215647,0.0014614733823659803,True,7.825706980797677e-28,False,
standardized_data.xlsx,u_850_纬向风速,-2.17858546385368,0.2141092909793817,False,1.1849255700094996e-92,False,
standardized_data.xlsx,v_850_经向风速,-2.8895138509208933,0.04658105306218198,True,3.9948876039519255e-82,False,
standardized_data.xlsx,w_850_垂直风速,-8.459019578289729,1.585837722309535e-13,True,0.1591723335162003,True,
standardized_data.xlsx,absv_500_绝对涡度,-2.427591926373448,0.1340997321058937,False,0.001975866677218333,False,
standardized_data.xlsx,clwmr_500_云水混合比,-3.8396117514178543,0.0025270663411409247,True,1.9181609356556722e-10,False,
standardized_data.xlsx,gh_500_位势高度,-1.996719414728863,0.2880133714713464,False,1.5054793253326342e-137,False,
standardized_data.xlsx,r_500_相对湿度,-3.8168837453304545,0.002739219788012192,True,6.364052898388039e-32,False,
standardized_data.xlsx,q_500_比湿,-4.091463943833814,0.0010004731277428697,True,3.6311178503867757e-34,False,
standardized_data.xlsx,t_500_温度,-3.7654611850331925,0.0032811331248569597,True,2.495513594144388e-41,False,
standardized_data.xlsx,u_500_纬向风速,-2.136029380458683,0.23027588660074572,False,2.844612467343456e-118,False,
standardized_data.xlsx,v_500_经向风速,-2.6067117657460983,0.09161800132820092,False,2.402645898126184e-88,False,
standardized_data.xlsx,w_500_垂直风速,-4.048002268335173,0.0011789977440218062,True,0.0001218259032942154,False,
standardized_data.xlsx,o3mr_臭氧混合比,-6.299990893883769,3.4308622835464084e-08,True,1.0377887984567612e-07,False,
standardized_data.xlsx,lftx4_4层最佳抬升指数,-3.739698232567162,0.003588175802333665,True,3.132977010931132e-28,False,
standardized_data.xlsx,cape_对流有效能,-3.1342006596769543,0.024123554782166524,True,5.743584298148296e-35,False,
standardized_data.xlsx,cin_对流抑制能,-10.091204752622154,1.1209517123526838e-17,True,0.9860874935442406,True,
standardized_data.xlsx,gh_surface_位势高度,-6.67413348036095,4.509802108449749e-09,True,7.904704689014821e-05,False,
standardized_data.xlsx,lftx_surface_地面抬升指数,-3.7536836847368247,0.0034183738549203478,True,5.037151898126046e-29,False,
standardized_data.xlsx,surface_pressure_地面气压,-1.2272485938024376,0.6617656132739111,False,7.10999856206005e-122,False,
standardized_data.xlsx,pressure_气压,-7.251903177863686,1.77109932967681e-10,True,0.007856283003047962,False,
standardized_data.xlsx,t_surface_温度,-5.818833639248564,4.229688631741409e-07,True,1.949170731419888e-07,False,
standardized_data.xlsx,u_surface_纬向风速,-2.6319651513942834,0.08656902740149014,False,3.511466359248037e-95,False,
standardized_data.xlsx,v_surface_经向风速,-3.6974458501268606,0.004149224316296262,True,1.5566282246797808e-29,False,
standardized_data.xlsx,vertical_wind_shear_垂直速度切变,-10.402439418779046,1.8940675079341036e-18,True,0.710418286038652,True,
standardized_data.xlsx,precipitation_降水量,-9.073159674123229,4.248196089384237e-15,True,0.4210201659296988,True,
merged_finally_output.xlsx,absv_850_绝对涡度,-5.63506739973256,1.0677164975644337e-06,True,1.680898500034661e-12,False,
merged_finally_output.xlsx,clwmr_850_云水混合比,-10.948349807351129,8.927843792152618e-20,True,0.9999998621909251,True,
merged_finally_output.xlsx,gh_850_位势高度,-1.3727980857605775,0.5952453708781105,False,4.1078755182278693e-140,False,
merged_finally_output.xlsx,r_850_相对湿度,-4.317510502640558,0.0004141989174385276,True,6.019286800433814e-13,False,
merged_finally_output.xlsx,q_850_比湿,-3.5920920921412898,0.005914022137850647,True,8.716618672304203e-22,False,
merged_finally_output.xlsx,t_850_温度,-3.990427523521578,0.0014614733823659042,True,7.8257069807977875e-28,False,
merged_finally_output.xlsx,u_850_纬向风速,-2.1785854638536817,0.21410929097938092,False,1.1849255700094996e-92,False,
merged_finally_output.xlsx,v_850_经向风速,-2.889513850920893,0.046581053062182035,True,3.994887603952155e-82,False,
merged_finally_output.xlsx,w_850_垂直风速,-8.45901957828973,1.5858377223095004e-13,True,0.1591723335162003,True,
merged_finally_output.xlsx,absv_500_绝对涡度,-2.4275919263872314,0.13409973210215403,False,0.0019758666772183406,False,
merged_finally_output.xlsx,clwmr_500_云水混合比,-3.8396117514195174,0.0025270663411259713,True,1.9181609356556645e-10,False,
merged_finally_output.xlsx,gh_500_位势高度,-1.9967194147288283,0.28801337147136163,False,1.5054793253328917e-137,False,
merged_finally_output.xlsx,r_500_相对湿度,-3.816883745330454,0.002739219788012192,True,6.364052898388223e-32,False,
merged_finally_output.xlsx,q_500_比湿,-4.091463943833625,0.0010004731277435893,True,3.6311178503867753e-34,False,
merged_finally_output.xlsx,t_500_温度,-3.765461185033234,0.003281133124856491,True,2.49551359414428e-41,False,
merged_finally_output.xlsx,u_500_纬向风速,-2.1360293804586825,0.23027588660074594,False,2.844612467343456e-118,False,
merged_finally_output.xlsx,v_500_经向风速,-2.6067117657460988,0.09161800132820086,False,2.402645898126388e-88,False,
merged_finally_output.xlsx,w_500_垂直风速,-4.04800226833517,0.001178997744021819,True,0.00012182590329421587,False,
merged_finally_output.xlsx,o3mr_臭氧混合比,-6.299990893883767,3.430862283546447e-08,True,1.0377887984567424e-07,False,
merged_finally_output.xlsx,lftx4_4层最佳抬升指数,-3.739698232567163,0.003588175802333655,True,3.132977010931132e-28,False,
merged_finally_output.xlsx,cape_对流有效能,-3.134200659676957,0.024123554782166316,True,5.743584298148049e-35,False,
merged_finally_output.xlsx,cin_对流抑制能,-10.091204752622154,1.1209517123526838e-17,True,0.9860874935442406,True,
merged_finally_output.xlsx,gh_surface_位势高度,-6.674133480360949,4.509802108449816e-09,True,7.904704689014853e-05,False,
merged_finally_output.xlsx,lftx_surface_地面抬升指数,-3.7536836847368247,0.0034183738549203478,True,5.037151898125755e-29,False,
merged_finally_output.xlsx,surface_pressure_地面气压,-1.2272485938022673,0.6617656132739858,False,7.109998562061673e-122,False,
merged_finally_output.xlsx,pressure_气压,-7.251903177863685,1.7710993296768366e-10,True,0.007856283003047951,False,
merged_finally_output.xlsx,t_surface_温度,-5.818833639248564,4.229688631741409e-07,True,1.9491707314199022e-07,False,
merged_finally_output.xlsx,u_surface_纬向风速,-2.6319651513942843,0.08656902740148997,False,3.511466359247937e-95,False,
merged_finally_output.xlsx,v_surface_经向风速,-3.6974458501268614,0.00414922431629625,True,1.556628224679736e-29,False,
merged_finally_output.xlsx,vertical_wind_shear_垂直速度切变,-10.402439418779046,1.8940675079341036e-18,True,0.7104182860386519,True,
merged_finally_output.xlsx,precipitation_降水量,-9.073159674123236,4.248196089384069e-15,True,0.42102016592969865,True,
